"Paper ID";"Assigned";"Processed";"Data_accessible";"Pre-registered";"Code";"Reproducible";"Readme"
1;"yes";"yes";"yes";"no";"yes";"yes";"no"
2;"yes";"yes";"yes";"no";"yes";"no";"yes"
3;"yes";"yes";"yes";"no";"yes";"no";"no"
4;"yes";"yes";"yes";"no";"yes";"yes";"yes"
5;"yes";"yes";"yes";"no";"yes";"no";"yes"
6;"yes";"yes";"yes";"no";"no";"no";"no"
7;"yes";"yes";"yes";"no";"yes";"yes";"yes"
8;"yes";"yes";"yes";"yes";"yes";"yes";"yes"
9;"yes";"yes";"yes";"no";"yes";"yes";"yes"
10;"yes";"yes";"yes";"no";"yes";"no";"no"
11;"yes";"yes";"yes";"no";"yes";"yes";"no"
12;"yes";"yes";"yes";"no";"no";"no";"yes"
13;"yes";"yes";"yes";"no";"yes";"yes";"no"
14;"yes";"yes";"yes";"no";"yes";"no";"no"
15;"yes";"yes";"yes";"no";"yes";"yes";"no"
16;"yes";"yes";"yes";"no";"yes";"yes";"yes"
17;"yes";"yes";"yes";"no";"yes";"no";"yes"
18;"yes";"yes";"yes";"no";"no";"no";"yes"
19;"yes";"yes";"yes";"no";"no";"no";"yes"
20;"yes";"yes";"yes";"no";"yes";"no";"yes"
21;"yes";"yes";"yes";"no";"no";"no";"no"
22;"yes";"yes";"yes";"no";"yes";"no";"no"
23;"yes";"yes";"yes";"no";"no";"no";"yes"
24;"yes";"yes";"yes";"no";"no";"no";"yes"
25;"yes";"yes";"yes";"no";"yes";"no";"no"
26;"yes";"yes";"no";"no";"no";"no";"no"
27;"yes";"yes";"yes";"no";"yes";"yes";"yes"
28;"yes";"yes";"yes";"no";"no";"yes";"yes"
29;"yes";"yes";"yes";"yes";"no";"no";"no"
30;"yes";"yes";"no";"no";"no";"no";"no"
31;"yes";"yes";"yes";"no";"no";"no";"no"
32;"yes";"yes";"yes";"no";"yes";"no";"no"
33;"yes";"yes";"yes";"no";"yes";"no";"yes"
34;"yes";"yes";"yes";"no";"no";"no";"yes"
35;"yes";"yes";"yes";"no";"no";"no";"no"
36;"yes";"yes";"yes";"no";"no";"no";"no"
37;"yes";"yes";"no";"no";"no";"no";"no"
38;"yes";"yes";"yes";"no";"yes";"no";"no"
39;"yes";"yes";"no";"no";"no";"no";"no"
40;"yes";"yes";"yes";"yes";"yes";"yes";"yes"
41;"yes";"yes";"yes";"no";"yes";"no";"no"
42;"yes";"yes";"yes";"no";"no";"no";"no"
43;"yes";"yes";"no";"no";"no";"no";"no"
44;"yes";"yes";"no";"no";"no";"no";"no"
45;"yes";"yes";"yes";"no";"yes";"yes";"no"
46;"yes";"yes";"yes";"no";"no";"no";"yes"
47;"yes";"yes";"yes";"no";"yes";"yes";"no"
48;"yes";"yes";"no";"no";"no";"no";"no"
49;"yes";"yes";"yes";"no";"no";"no";"no"
50;"yes";"yes";"no";"no";"no";"no";"no"
51;"yes";"yes";"yes";"no";"no";"no";"no"
52;"yes";"yes";"yes";"no";"yes";"yes";"no"
53;"yes";"yes";"yes";"yes";"yes";"yes";"yes"
54;"yes";"yes";"yes";"no";"no";"no";"no"
55;"yes";"yes";"yes";"no";"yes";"yes";"yes"
56;"yes";"yes";"no";"no";"no";"no";"no"
57;"yes";"yes";"no";"no";"no";"no";"no"
